Event Date,Event Time,Duration,City,State,Country,Lat,Lon,TotalObservers,Summary,NumShips,Shape,NUFORC Note,Explanation,Certainty
7/1/1960,22:00:00,17 minutes,Midland (Canada),ON,Canada,44.749516,-79.8921923,3,4 disc shapped crafts over Gerogen Bay ont.,4,Disk,Date is approximate.  PD,,
9/1/2021,21:30:00,5 mins,Barrhaven,ON,Canada,45.2634006,-75.7351024,3,3 disk shaped UFOs + 1 L-shaped flying object,4,Disk,,Unexplained,Possible
8/3/2013,21:00:00,40 minutes,Winnipeg (Canada),MB,Canada,49.8954221,-97.1385145,3,Four bright lights travelling in a row at sunset.,4,Disk,,,
9/20/2020,22:00:00,2 minutes,Fort Albany (Canada),ON,Canada,52.3063606,-81.7276723,3,"while outside our residence, three lights in a diamond shape moved erratically in the sky above our location and disappeared into the e",4,Diamond,,,
8/5/2012,23:00:00,20 seconds,Burlington (Canada),ON,Canada,43.3255196,-79.7990319,3,3 orange dots flying over burlington ontario in a triangle then a lone one followed.,4,Circle,Witness elects to remain totally anonymous; provides no contact information.  PD,,
8/15/2012,21:50:00,2 minutes,Dunchurch (Canada),ON,Canada,45.6500985,-79.8506936,3,"2 by 2 ,came up from the tree line across the lake, looked like 2 stars. They hovered for a bit and then traveled up fast and gone out",4,Circle,,,
3/16/2013,20:10:00,5 minutes,Oshawa (Canada),ON,Canada,43.8970929,-78.8657912,3,Four large red circles in night sky,4,Circle,,,
8/24/1999,23:15:00,35 min,Vancouver (Canada),BC,Canada,49.2827291,-123.1207375,2,I noticed what I thought was a star shining way too brightly. I called my wife to have a look and she confirmed that it was no star. Th,4,Unknown,,,
8/6/2005,22:00:00,10 mins approx,Amherst (Canada),NS,Canada,45.8344395,-64.2123394,2,Unknown objects flying in a > with another following close behind,4,Unknown,,,
9/8/2013,21:11:00,2 minutes,Thunder Bay (Canada),ON,Canada,48.3808951,-89.2476823,2,bringing dogs outside with freind looked up toward lake suprior toward sleeping giant seen four yellow spere lights then they were in,4,Unknown,,,
5/24/2014,01:10:00,10 seconds,Portage la Prairie (Canada),MB,Canada,49.9731127,-98.2924804,2,Saw four orange balls in formation travel at high speed from south to north.,4,Unknown,,,
8/18/2020,23:58:00,Seen 4 green triangle s.,Peterborough,ON,Canada,44.3047061,-78.3199606,2,4 Green triangles,4,Triangle,,,
6/15/1979,21:30:00,5 min.,Lavigne (Canada),ON,Canada,46.3277962,-80.1701957,2,still unexplained lights and craft seen in northern Ontario.,4,Triangle,Date in June 1979 is approximate.  PD,,
8/25/2019,23:00:00,1-2 hours,White Lake (Canada),ON,Canada,45.3100033,-76.5200139,2,"August 26, 2019 Several star like objects observed to north, west and overhead. August 24 through to 26 2019 around 11:00 Pm to 2:00 am",4,Sphere,,,
5/18/1996,22:00:00,unknown,Princeton (Shea Lake) (Canada),BC,Canada,49.9007516,-120.7379787,2,"We were camping, Victoria Day long weekend. Twinkling red,blue & white lights on the 3rd up, left  side of the Orion Belt(?) Seemed to ",4,Sphere,,,
7/5/2015,21:00:00,10 minutes,Cornwall (Canada),ON,Canada,45.0212762,-74.730345,2,Objects moving across low altitude above Cornwall.,4,Oval,,,
7/23/2002,14:30:00,5 minutes,St. Albert (Canada),AB,Canada,53.6539037,-113.6292701,2,"4 Black squares that met in the sky, then suddenly disappeared.",4,Other,,,
12/14/2017,00:00:00,2 hours,Edmonton (Canada),AB,Canada,53.5460983,-113.4937266,2,UFO with Vertical Cylinders revolving clockwise surrounded by 3 smaller UFOs,4,Other,,,
6/22/2023,23:30:00,20mins,Rockport,NB,Canada,45.732441,-64.494567,2,Orbs of light flying,4,Orb,,Unexplained,Possible
7/12/2018,23:00:00,10 minutes,French Loop Road,NS,Canada,45.9094348,-60.2431161,2,Was looking outside at the night sky...it is an area free of light pollution I saw 4 maybe 5 orbs just above tree line watching,4,Orb,,Unexplained,Possible
9/7/2013,22:30:00,7-10 minutes,Pinery Provincial Park (Canada),ON,Canada,43.2481937,-81.8222213,2,"At approximately 10:30 pm, sitting on the beach at the Pinery Provincial Park on September 7, 2013 enjoying the night sky, two women",4,Orb,,,
7/17/2009,21:45:00,2 hours,Quebec (Canada),QC,Canada,46.8130816,-71.2074596,2,Big orange spheres over Quebec City.,4,Orb,,,
6/15/2013,19:20:00,5-10 minutes,Kitchener (Canada),ON,Canada,43.4516395,-80.4925337,2,"Kitchener, ON: 4 Black Orbs w/ Orange Lights; Hovering, Interacting, Moving as a unit, no sound, flew straight up",4,Orb,,,
10/7/2013,19:00:00,10 minutes,Mississauga (Canada),ON,Canada,43.5890452,-79.6441198,2,Orbs by Lake Ontario.,4,Orb,,,
8/28/2015,14:30:00,5 minutes,London,ON,Canada,42.9849233,-81.2452768,2,my wife and I were watching jets fly at an air show and saw these black orbs sitting still in what looked like a formation,4,Orb,,Unexplained,Possible
5/18/2019,23:50:00,1-2 minutes,Martensville,SK,Canada,52.2931212,-106.6578378,2,Was out walking dog around midnight looking at full moon.  Wife noticed two bright lights by big dipper constalation.  They were moving,4,Light,,,
5/20/2010,23:40:00,15 Mins,Port Hawkesbury (Canada),NS,Canada,45.6148755,-61.3518164,2,Five UFO's one very Close and Zipped away very fast,4,Light,,,
5/22/2003,23:00:00,1 hour,Toronto (Canada),ON,Canada,43.653226,-79.3831843,2,"4 UFO's were flying in the sky, quickly from one place to another, one was dissapearing and re-appearing.",4,Light,,,
3/24/2006,22:45:00,10mins,Halifax (Canada),NS,Canada,44.8857087,-63.1005273,2,3 lit objects in triangle formation,4,Light,,,
8/24/2014,22:30:00,2 minutes,Honey Harbour (Canada),ON,Canada,44.871071,-79.817106,2,Taking astro photography and these lights appeared in the W sky They formed a pattern of a diamond and moved away (nw. I have a p,4,Light,,,
2/29/2016,20:45:00,20 minutes,Port Hope (Canada),ON,Canada,43.9491764,-78.2934834,2,"Strange glowing lights, approximately 4, moving in circular motion through the clouds lighting up behind the clouds.",4,Light,,,
12/16/2017,19:00:00,>1.5 hours,Sault Ste Marie (outside of)(Canada),ON,Canada,46.5136494,-84.3357526,2,"Low flying, flashing lights in the fields in the country.",4,Light,,,
8/15/2003,12:15:00,15 min,Kelowna (Canada),BC,Canada,49.8863235,-119.4965917,2,On Friday August 15 just after noon I was laying on my yoga mat in my back yard when I noticed a very tiny luminescent object that was,4,Light,,,
5/9/2011,12:00:00,20 minutes,Barrie (Canada),ON,Canada,44.3893556,-79.6903316,2,"Bright lights on a sunny day, manouevering both horizontally and vertically over Barrie, Ontario",4,Light,,,
7/29/2005,01:00:00,20 minutes,Dartmouth (Canada),NS,Canada,44.6660885,-63.5675632,2,((NUFORC Note:  Probably advertising lights.  PD))  Four bright white lights symmetrically converging and diverging.,4,Light,Probably advertising lights.  PD,,
6/23/2004,01:00:00,2 hours,Edmonton (Canada),AB,Canada,53.5460983,-113.4937266,2,"4 lights gathered together and moved in patterns in the Canadian sky, Edmonton Alberta",4,Light,"We will correspond with the witness, in order to establish whether the lights might have been advertising lights.  Such a possibility does not seem likely to us, but that has to be ruled out.  PD",,
2/6/2000,01:00:00,1 hour,Black Creek (Canada),BC,Canada,49.832962,-125.129371,2,"Over several nights, we saw stars/lights that appear to move in erratic fashion, these stars flicker in colour and intensity, But they ",4,Light,,,
6/20/2004,00:15:00,5 mins,Tecumseh (Canada),ON,Canada,42.3117966,-82.8857592,2,4 objects converging into a formation crossed the night sky high above then shot off in 90 degree angle!!,4,Light,,,
6/20/2004,00:15:00,15 seconds,Windsor (Canada),ON,Canada,42.3149367,-83.0363633,2,"Four balls of red light dashed across the sky from the south, stopped, then made right angled turns to the east.",4,Light,,,
12/21/2019,21:45:00,5 minutes,Saskatoon,SK,Canada,52.157902,-106.6701577,2,Each object glowed reddish in color the entire time of viewing.,4,Formation,,,
4/14/2015,21:00:00,30 seconds,Kamloops (Canada),BC,Canada,50.674522,-120.3272674,2,4 what looked like Satellites following each other.  ((NUFORC Note:  Retraction--Satellite launch.  PD)),4,Formation,"RETRACTION--Thanks to Mr. Ted Molczan of SEESAT-1, we now believe that the 4-5+ objects seen by witnesses in the Pacific Northwest probably were parts from the ""Dragon"" CRS-6 supply ship, which had been launched a few hours before the sighting.  We express our gratitude to Mr. Molczan, and to his collaborators, for spotting our error, and for making the information available to our Center.  PD",,
11/6/2006,21:00:00,30-45 min,Toronto/Kitchener (between; on Hwy 40) (Canada),ON,Canada,43.653226,-79.3831843,2,"Four lights converging together, then spread out, then converge to the centre again.  ((NUFORC Note:  Advertising lights??  PD))",4,Formation,Advertising lights??  Time is approximate.  PD,,
7/1/1998,01:35:00,17 seconds,St. Catharines (Canada),ON,Canada,43.1593745,-79.2468626,2,Four round lights traveling in a diamond formation traveling at a very high rate of speed. All four lights appeared attached to a small,4,Formation,,,
1/12/2008,06:30:00,07:45,Chesterfield Inlet (Canada),NT,canada,63.3415592,-90.704004,2,"January 12 @ approximately 6:30 am -we saw a White fuzzy circle, red streak, fireball, accelerating at a very fast rate,.between the t",4,Fireball,,,
6/7/2013,23:30:00,2 minutes,Brantford (Canada),ON,Canada,43.1393867,-80.2644254,2,"Me and friend saw 4 orange round shaped, what looked like fireballs in the sky. They hovered for about 2 mins then disappeared behind c",4,Fireball,Witness elects to remain totally anonymous; provides no contact information.  PD,,
9/15/1996,23:30:00,15 min.,Fort Nelson (Canada),BC,Canada,58.8050174,-122.697236,2,"It was about 11:30 pm, A friend and I were on our way to attend a collage course in B.C.. We saw what looked like 3 round large balls o",4,Fireball,Date is approximate.  PD,,
6/21/2013,23:00:00,1/2 hour,Fredericton (Canada),NB,Canada,45.9635895,-66.6431151,2,"Several orange yellow fireballs in the sky over Fredericton, then the lights went out, turned black and disappeared.",4,Fireball,,,
8/23/2013,22:30:00,10 minutes,London (Canada),ON,Canada,42.9849233,-81.2452768,2,Boyfriend and I saw bright orange silent fireball like orbs in sky above London Ontario.,4,Fireball,Witness elects to remain totally anonymous; provides little contact information.  PD,,
7/1/2011,00:00:00,10 minutes,Mount Forest (Canada),ON,Canada,43.981093,-80.7358653,2,Round glowing fire like ball in Ontario.,4,Fireball,,,
8/30/2003,22:00:00,00:30,Mississaugam (Canada),ON,Canada,43.5890452,-79.6441198,2,It was around 10:00 pm saturday night. the sky was clear and we were looking for mars on the south side of the sky.but then i looked st,4,Egg,"We suspect that satellites are a possible explanation for the sightings that would have to be eliminated, before we could conclude that the witnesses had observed anything unusual.  PD",,
10/29/2019,07:00:00,~33 minutes,Surrey (Canada),BC,Canada,49.1913466,-122.8490125,2,"Floating unusual lights seen in Surrey, Canada",4,Circle,,,
10/29/2019,07:00:00,20 minutes,Surrey (Canada),BC,Canada,49.1913466,-122.8490125,2,Suspicious lights seen in Surrey this morning.,4,Circle,,,
7/26/2014,23:00:00,8 minutes,Port Hope (Canada),ON,Canada,43.9491764,-78.2934834,2,Two sets of two dull white lights in each moving quite slowly; north from Lake Ontario and east through Port Hope towards Cobourg.,4,Circle,,,
1/1/2006,23:00:00,15 min,Prince George (Canada),BC,Canada,53.9170641,-122.7496693,2,There were four red balls of light flying in formation over the neighbourhood for about 15 or 20 minutes.,4,Circle,,,
4/20/2014,21:05:00,5 minutes,Stayner (Canada),ON,Canada,44.4184121,-80.0957297,2,Four red glowing objects in the sky.,4,Circle,Witness elects to remain totally anonymous; provides no contact information.  PD,,
7/9/2006,00:00:00,2 hours,Calgary (Canada),AB,Canada,51.0447331,-114.0718831,2,Three lights circling one another.  ((NUFORC Note:  Possible advertising lights.  PD)),4,Circle,Witness elects to remain totally anonymous; provides no contact information.  PD,,
5/8/2004,15:30:00,10 seconds,Hamilton (Canada),ON,Canada,43.2557206,-79.8711024,2,"of us observed 4 cigar shaped formations flying in a north west direction, diamond formation.  zig zaged for 10 sec & vanished",4,Cigar,,,
5/12/2012,23:20:00,5 min,Waasis (Canada),NB,Canada,45.828977,-66.578676,2,Lights in the sky,4,Changing,,,
3/30/2019,01:00:00,2 hours,Windsor (Canada),ON,Canada,42.3149367,-83.0363633,2,I was watching the iss feed and caught 4 aliens what is going on aircraft's coming in and out of veiw nasa tries to hide,4,Changing,,,
4/16/2007,22:30:00,10-15 min,Dryden (Canada),ON,Canada,49.7800938,-92.8369592,1,"A red flashing object which was moving in a fast,erratic way and made a sharp turn from east to south direction",4,Unknown,,,
4/6/2008,23:00:00,10 seconds,Oakville (Canada),ON,Canada,43.467517,-79.6876659,1,Single ship with three balls of light sent out from it,4,Triangle,,,
5/17/2014,22:35:00,7 seconds,Sudbury (Canada),ON,Canada,46.4917317,-80.993029,1,Medium grey colour triangle shaped objects,4,Triangle,,,
5/6/2014,21:32:00,4 minutes,Ancaster (Canada),ON,Canada,43.2177791,-79.9872835,1,"Whilst driving to Caledonia, I saw around 3 / 4 deep orange/red single glowing orbs. Eventually they kind of angled upwards slowly away",4,Triangle,Witness elects to remain totally anonymous; provides no contact information.  PD,,
12/25/2009,20:30:00,20 minutes,Nanaimo (Canada),BC,Canada,49.1658836,-123.9400647,1,"4 orange/red balls fairly low in sky, 3 in shape of triangle, 1 floated through middle",4,Triangle,Witness indicates that date is approximate.  PD,,
7/15/2018,00:40:00,4-5 seconds,Airdrie (Canada),AB,Canada,51.2926968,-114.0134113,1,Three lights in triangular formation. Swarmed by 3-5 singular lights moving at varying speeds and directions around triangular light.,4,Triangle,"We spoke via telephone with the witness, and he seemed to us to be quite sincere and sober-minded.  PD",,
8/3/2012,04:00:00,5 min,Lundbreck (Canada),AB,Canada,49.583426,-114.164098,1,"Globes hovering in sky, one predominant on 3 less bright, covered all over with lights. nightime",4,Sphere,,,
6/22/2013,23:55:00,2-3 minutes,Timmins (Canada),ON,Canada,48.4758208,-81.3304953,1,"4 red lights moving south to north, silent.",4,Sphere,Witness elects to remain totally anonymous; provides no contact information.  PD,,
8/3/2021,20:50:00,15-20 seconds,Drummondville,QC,Canada,45.8802909,-72.4842824,1,"Saw 4-5 craft flew above in the sky, they were silent switch place in formation light white. From my point of view they were around 1cm",4,Sphere,,,
8/28/1998,22:45:00,30 sec,Alberta (Canada),AB,Canada,53.9332706,-116.5765035,1,UFO encounter x2,4,Other,,,
6/12/1987,02:00:00,2 week period roughly the,Calgary (Canada),AB,Canada,51.0447331,-114.0718831,1,A sighting of 2 types of craft over a two week period.,4,Other,,,
7/5/2017,01:36:00,2.5 minutes,Abbotsford (Canada),BC,Canada,49.0504377,-122.3044697,1,they looked just like a star  ((NUFORC Note:  Possible satellites??  PD)),4,Other,,,
9/6/2005,23:00:00,5 seconds,Whitecourt (Canada),AB,Canada,54.1425199,-115.6766396,1,From the East I saw 4 lights streaking across the sky moving in close proximity to one another.,4,Orb,,,
10/13/2016,07:00:00,10 seconds,Ottawa (Canada),ON,Canada,45.4215296,-75.6971931,1,I took multiple pictures of the morning sky and sunrise.  ((anonymous report)),4,Light,Witness elects to remain totally anonymous; provides no contact information.  PD,,
9/30/2005,23:30:00,7 - 8 seconds,Grande Prairie (Canada),AB,Canada,55.170691,-118.7884808,1,4 lights moving across the Grande Prairie Night Sky,4,Light,,,
8/21/2009,23:00:00,30 min +,Sherwood Park (Canada),AB,Canada,53.5412755,-113.2957634,1,Four lights above the clouds moving silently in large circles like small planes searching.  ((NUFORC Note:  Advertising lights?  PD)),4,Light,Witness elects to remain totally anonymous; provides no contact information.  PD,,
12/12/2013,22:30:00,3 seconds,New Glasgow (Canada),NS,Canada,45.5871993,-62.6451868,1,Four Fast Walkers caught on NightVision.,4,Light,,,
8/7/2003,22:15:00,10 seconds ?,Sakinaw Lake (Sunshine Coast) (Canada),BC,Canada,49.6808548,-124.0089859,1,HBCCUFO CANADIAN REPORT:  The light split into 4 lights which formed a square.,4,Light,,,
8/19/2001,22:15:00,30 seconds,Victoria (Canada),BC,Canada,48.4284207,-123.3656444,1,4 points of light not quite as bright as the stars accelerated across the sky in a south east direction in a triangle formation. Disapp,4,Light,Source is anonymous.  PD,,
5/25/2023,22:00:00,10 minutes,Lethbridge,AB,Canada,49.6956181,-112.8451067,1,4 lights moving around erratically,4,Light,,Unexplained,Possible
1/21/2024,18:00:00,approx 10-15minutes,Richibouctou,NB,Canada,46.6821644,-64.8618269,1,4 lights in the sky,4,Light,,Unexplained,Possible
5/20/2001,01:30:00,5 hrs,Yarmouth (Canada),NS,Canada,43.8378563,-66.1197201,1,Four lights over Yarmouth Harbour that would blink off and on and move at rapid speeds and then remain motionless,4,Light,,,
7/15/1991,23:30:00,10-15 secs,Crofton (Vancouver Island) (Canada),BC,Canada,48.863844,-123.6457977,1,"My mother says she went out to put the horse in, and she saw a flash, looked up and saw 4 groups of lights flying in formation fly over",4,Formation,,,
9/9/2005,21:00:00,30 sec,Montreal (Canada),QC,Canada,45.5018869,-73.5673919,1,"looking at the stars, and at that veru moment, what looked like 4 stars, they were moving, what seemed to be at speed of light...i watc",4,Formation,,,
3/29/2004,20:45:00,2-3 seconds,Edmonton (Canada),AB,Canada,53.5460983,-113.4937266,1,"tight faint formation directly over Edmonton, AB Canada. Going NNW.",4,Formation,,,
9/11/2007,00:10:00,5 minutes,Vancouver (Canada),BC,Canada,49.2827291,-123.1207375,1,4  bluish-white lights flying in fomation at very high altitude,4,Formation,,,
12/4/2015,22:20:00,5-10 seconds,Gilchrist (Canada),ON,Canada,44.459318,-79.580874,1,Series of bright streaks in the sky near air force base.,4,Flash,,,
5/17/2021,21:30:00,25 seconds,Sherbrooke (Canada),QC,Canada,45.4042669,-71.893674,1,Looked like pieces of falling meteor...instead of burning out they spaced out evenly and flew North parallel to earth at great speed.,4,Fireball,,,
6/21/2013,10:30:00,15 minutes,Oshawa (Canada),ON,Canada,43.8970929,-78.8657912,1,"Red fireballs going up, then dwindled into pinkish/red round circulating objects as they directed North",4,Fireball,Witness elects to remain totally anonymous; provides no contact information.  PD,,
9/22/2022,01:30:00,Watched it for about a ho,Edmonton,AB,Canada,53.5460983,-113.4937266,1,It was a orange light when I got my camera and started recording . It got bigger and bigger meanwhile there were two little ones as wel,4,Fireball,,,
10/9/2014,05:00:00,few second,Toronto (Canada),ON,Canada,43.653226,-79.3831843,1,A craft appear over  cn tower  and then a laser seem to have try to hit but miss it.,4,Disk,,,
3/13/2009,17:00:00,short,Niagara Falls (Canada),ON,Canada,43.0895577,-79.0849436,1,4 saucer like objects,4,Disk,,,
8/14/2013,02:01:00,5 minutes,Yale,BC,Canada,49.6649142,-121.3116836,1,"They were coming in one at a time across the canyon, shrunk down and landed in formation, and then left after a few minutes.",4,Cube,,Unexplained,Possible
11/21/2001,05:50:00,7-8 sec.,Chatham (Canada),ON,Canada,42.4078419,-82.1910374,1,"Orange disks over southern Ontario, Canada",4,Circle,,,
3/20/2004,04:15:00,01:00,Minnedosa (Canada),MB,Canada,50.2471469,-99.8385825,1,very bright white light and changes in color which hovered in a straight line with smaller round lights that shot out from the large on,4,Circle,"Witness does not indicate accurately duration of sighting, but we wonder whether she might have been looking at a celestial body.  PD",,
2/15/1996,23:00:00,30 secs,St. Albert (Canada),ON,Canada,53.6539037,-113.6292701,1,A bright white object moving slowly across the sky split into 4 other craft 3 of which surrounded the white one in the middle to form a,4,Circle,,,
10/4/2020,22:30:00,04:00,Niagara Falls (Canada),ON,Canada,43.0895577,-79.0849436,1,4 Weird lights seem to be repeating a pattern in sky.  ((NUFORC Note:  Advertising lights??  PD)),4,Circle,,,
12/26/2014,20:30:00,~5 minutes,Cobourg (Canada),ON,Canada,43.9593373,-78.1677363,1,"4 yellow/orange lights moving with seeming deliberate movement east of Cobourg, Ontario.",4,Circle,Witness elects to remain totally anonymous; provides no contact information.  PD,,
4/4/2008,14:15:00,don' t  know,Canada,,Canada,56.130366,-106.346771,1,I saw strange objects in the sky.,4,Circle,,,
1/3/2022,20:30:00,15 minutes,St. Mary's,ON,Canada,43.2595868,-81.140653,1,"I saw an incredible shining silver disc that had an ""aura"" enveloping it.",4,Changing,,,
7/2/2017,22:31:00,40 seconds,Doaktown,NB,Canada,46.5537385,-66.1364081,300,Triangular formation of 3 blue/white lights flying above a firework show.,3,Formation,,,
6/26/2004,22:50:00,1 minute,Toronto (Canada),ON,Canada,43.653226,-79.3831843,100,"At Ontario Place, Festival of Fire (Fireworks), 3 craft looking like comets traveled horizontally across the sky in a minute.",3,Fireball,Possible sighting of re-entering space debris.  PD,,
7/1/2012,23:45:00,5 minutes,Oro (Canada),ON,Canada,44.4653846,-79.564267,100,Large Round Spherical Brilliant Orange Swirling Wheel Witnessed and Filmed,3,Circle,,,
9/4/1999,22:00:00,30 sec,St Gorge (Canada),QC,Canada,46.1229184,-70.670352,12,3 Satelite-like triangular formation.,3,Triangle,,,
9/9/2005,22:00:00,2 hours,Markham (Canada),ON,Canada,43.8561002,-79.3370188,12,Seven of us were sitting in a backyard socializing when someone made a comment of small lights moving in an un-natural motion. Some cou,3,Disk,,,
1/2/2025,19:02:00,4 second my phone died,Greater Sudbury,ON,Canada,46.4917317,-80.993029,10,Out in a very busy city many people seen.   Low car sized drone with flashing lights.,3,Triangle,,Drone,Possible
